City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
jamestown,42.097,-79.2353,21.0,73,90,6.91,US,1612075009
bambous virieux,-20.3428,57.7575,86.0,66,40,10.36,MU,1612075244
vaini,-21.2,-175.2,78.8,94,75,5.75,TO,1612075244
grindavik,63.8424,-22.4338,21.2,93,90,5.75,IS,1612075244
cherskiy,68.75,161.3,-35.3,83,0,0.54,RU,1612075020
hobart,-42.8794,147.3294,70.0,48,75,11.5,AU,1612074988
pokhara,28.2333,83.9833,66.67,26,0,6.91,NP,1612075244
laguna,38.421,-121.4238,50.0,81,75,4.79,US,1612075245
saint george,37.1041,-113.5841,37.99,75,1,2.21,US,1612075245
bose,45.4612,8.0137,39.99,97,96,2.33,IT,1612075246
cap malheureux,-19.9842,57.6142,84.99,68,4,10.0,MU,1612075246
bamnet narong,15.4992,101.6897,87.94,32,8,8.84,TH,1612075246
rikitea,-23.1203,-134.9692,78.93,77,9,10.16,PF,1612075246
cape town,-33.9258,18.4232,69.01,88,90,12.66,ZA,1612075206
ahipara,-35.1667,173.1667,66.31,66,11,3.51,NZ,1612075032
punta arenas,-53.15,-70.9167,48.2,71,0,19.57,CL,1612075224
ames,42.0347,-93.6199,30.2,86,90,16.11,US,1612075247
sangmelima,2.9333,11.9833,72.14,82,69,2.95,CM,1612075248
ushuaia,-54.8,-68.3,46.4,71,0,6.91,AR,1612074973
ilebo,-4.3167,20.5833,72.16,94,100,1.61,CD,1612075248
lavrentiya,65.5833,-171.0,-11.56,85,100,9.78,RU,1612075248
sur,22.5667,59.5289,76.46,40,0,6.78,OM,1612075052
hermanus,-34.4187,19.2345,75.99,70,2,1.01,ZA,1612075248
krapina,46.1608,15.8789,34.0,93,90,12.66,HR,1612075249
mataura,-46.1927,168.8643,62.46,66,100,3.31,NZ,1612075249
makakilo city,21.3469,-158.0858,73.4,68,1,4.61,US,1612075250
matay,28.419,30.7792,60.66,31,0,7.65,EG,1612075250
ishigaki,24.3448,124.1572,71.6,49,20,12.66,JP,1612075250
bredasdorp,-34.5322,20.0403,75.99,70,0,1.01,ZA,1612075250
chokurdakh,70.6333,147.9167,-31.49,85,46,9.08,RU,1612075250
georgetown,5.4112,100.3354,89.6,55,20,9.22,MY,1612075241
coihaique,-45.5752,-72.0662,48.07,84,44,0.31,CL,1612075251
padang,-0.9492,100.3543,81.73,71,100,4.09,ID,1612075252
saint-philippe,-21.3585,55.7679,88.0,62,0,24.16,RE,1612075252
yellowknife,62.456,-114.3525,-13.0,76,20,3.44,CA,1612075042
kenai,60.5544,-151.2583,10.0,85,1,8.52,US,1612075252
qaanaaq,77.484,-69.3632,-3.46,87,100,0.76,GL,1612075253
tuktoyaktuk,69.4541,-133.0374,-32.8,68,40,3.44,CA,1612075254
bethel,41.3712,-73.414,14.0,72,1,4.9,US,1612075254
bereznik,62.8551,42.7072,17.37,97,100,8.46,RU,1612075254
pangnirtung,66.1451,-65.7125,-4.65,80,87,3.0,CA,1612075254
sabla,12.7525,4.7077,64.8,25,1,10.13,NG,1612075254
bathsheba,13.2167,-59.5167,78.8,73,40,21.85,BB,1612075256
mumford,5.2618,-0.759,79.41,88,93,7.87,GH,1612075256
gwadar,25.1216,62.3254,73.08,58,0,9.28,PK,1612075256
marawi,7.9986,124.2928,82.99,78,85,13.0,PH,1612075256
marzuq,14.4,46.4667,72.77,31,0,6.06,YE,1612075257
khasan,42.4308,130.6434,18.72,95,100,8.55,RU,1612075257
puerto ayora,-0.7393,-90.3518,78.01,92,20,7.0,EC,1612075257
taltal,-25.4,-70.4833,64.44,78,27,3.31,CL,1612075258
kapaa,22.0752,-159.319,71.6,83,75,18.41,US,1612075258
nemuro,43.3236,145.575,24.8,50,20,10.36,JP,1612075023
kommunisticheskiy,61.6789,64.4819,3.11,93,100,1.21,RU,1612075258
sorong,-0.8833,131.25,83.08,72,100,10.07,ID,1612075259
sarany,58.5,58.8833,19.11,98,100,6.82,RU,1612075259
upernavik,72.7868,-56.1549,-9.6,86,43,4.03,GL,1612075259
chernyshevskiy,63.0128,112.4714,-25.96,85,100,5.88,RU,1612075259
nyagan,62.1406,65.3936,1.92,93,100,1.36,RU,1612075260
castro,-24.7911,-50.0119,64.36,95,100,4.41,BR,1612075260
victoria,22.2855,114.1577,75.2,38,0,11.5,HK,1612075260
iskateley,67.6803,53.1512,3.27,93,100,11.41,RU,1612075261
busselton,-33.65,115.3333,93.99,28,0,4.0,AU,1612075261
pangody,65.85,74.4859,-14.53,89,100,19.3,RU,1612075261
albany,42.6001,-73.9662,9.0,59,25,3.6,US,1612075261
sao filipe,14.8961,-24.4956,72.95,63,100,10.67,CV,1612075065
isangel,-19.55,169.2667,80.6,83,75,17.13,VU,1612075262
todos santos,23.45,-110.2167,63.0,70,18,3.78,MX,1612075262
lorengau,-2.0226,147.2712,83.14,75,100,11.92,PG,1612075262
agadez,19.75,10.25,57.0,32,0,4.14,NE,1612075262
dikson,73.5069,80.5464,-32.19,79,0,5.46,RU,1612075262
port alfred,-33.5906,26.891,75.0,76,100,3.27,ZA,1612075262
jalu,29.0331,21.5482,61.5,41,0,11.23,LY,1612075057
guerrero negro,27.9769,-114.0611,56.64,70,66,1.28,MX,1612075263
new norfolk,-42.7826,147.0587,70.0,45,32,1.99,AU,1612075263
tasiilaq,65.6145,-37.6368,17.6,53,75,3.44,GL,1612075263
kurilsk,45.2333,147.8833,18.36,94,100,24.27,RU,1612075264
puerto escondido,15.85,-97.0667,75.72,66,0,3.67,MX,1612075264
arraial do cabo,-22.9661,-42.0278,75.67,83,95,25.1,BR,1612075264
qaqortoq,60.7167,-46.0333,39.2,28,75,29.93,GL,1612075264
lebu,-37.6167,-73.65,55.26,90,4,11.86,CL,1612075264
richards bay,-28.783,32.0377,80.19,81,88,4.68,ZA,1612075265
pirajui,-21.9986,-49.4572,69.01,91,100,1.99,BR,1612075265
cabo san lucas,22.8909,-109.9124,63.0,77,4,3.0,MX,1612075019
norman wells,65.282,-126.8329,-22.0,76,75,2.75,CA,1612075266
vanimo,-2.6741,141.3028,83.88,71,51,12.57,PG,1612075266
laramie,41.3114,-105.5911,21.99,68,1,13.8,US,1612075267
nikolskoye,59.7035,30.7861,24.8,86,75,4.47,RU,1612075267
trinitapoli,41.3572,16.0874,57.0,76,0,4.61,IT,1612075268
sola,-13.8833,167.55,87.8,70,75,9.46,VU,1612075268
grand-bourg,15.8835,-61.3148,73.4,88,0,2.3,GP,1612075268
karratha,-20.7377,116.8463,93.79,46,99,12.1,AU,1612075268
bluff,-46.6,168.3333,57.49,77,100,5.68,NZ,1612075269
liberal,37.0431,-100.921,33.8,80,1,12.66,US,1612075270
butaritari,3.0707,172.7902,81.48,79,100,15.97,KI,1612075270
khatanga,71.9667,102.5,-47.83,77,47,2.04,RU,1612075270
kavaratti,10.5669,72.642,81.27,74,2,11.88,IN,1612075271
wagga wagga,-35.1167,147.3667,90.0,26,0,9.22,AU,1612075271
codrington,-38.2667,141.9667,63.61,63,0,13.78,AU,1612075272
iracoubo,5.4802,-53.2011,77.0,86,36,14.18,GF,1612075272
vrangel,42.7297,133.0839,16.63,80,0,6.53,RU,1612075272
leningradskiy,69.3833,178.4167,-26.97,83,0,4.12,RU,1612075273
saldanha,-33.0117,17.9442,67.53,84,86,8.25,ZA,1612075273
belozerskoye,55.8214,65.5842,14.22,96,26,2.73,RU,1612075273
deputatskiy,69.3,139.9,-29.45,87,99,2.19,RU,1612075273
lujan,-34.5703,-59.105,60.01,87,72,8.01,AR,1612075274
atuona,-9.8,-139.0333,79.23,76,80,19.1,PF,1612075274
galesburg,40.9478,-90.3712,34.0,100,90,11.5,US,1612075150
hilo,19.7297,-155.09,71.6,83,75,6.91,US,1612075030
barrow,71.2906,-156.7887,-20.2,69,90,9.22,US,1612075275
bani,18.2833,-70.3333,72.0,99,5,15.19,DO,1612075275
antalaha,-14.9003,50.2788,85.37,65,5,7.02,MG,1612075275
loukhi,66.0764,33.0381,11.34,97,100,3.67,RU,1612075275
katsuura,35.1333,140.3,53.01,35,20,16.11,JP,1612075275
havre-saint-pierre,50.2334,-63.5986,21.2,73,90,8.05,CA,1612075276
buraydah,26.326,43.975,50.0,71,0,10.45,SA,1612075276
ancud,-41.8697,-73.8203,50.0,93,0,3.44,CL,1612075276
marsabit,2.3284,37.9899,69.51,54,59,15.75,KE,1612075276
anadyr,64.75,177.4833,1.4,71,75,20.13,RU,1612075277
yaan,7.3833,8.5667,73.08,80,0,5.17,NG,1612075277
vila franca do campo,37.7167,-25.4333,63.0,94,75,14.97,PT,1612075277
touros,-5.1989,-35.4608,75.2,88,40,2.3,BR,1612075277
mahebourg,-20.4081,57.7,86.0,66,40,10.36,MU,1612075277
russell,32.3502,-85.1999,51.01,71,90,3.44,US,1612075277
sambava,-14.2667,50.1667,84.43,66,15,8.05,MG,1612075277
cayenne,4.9333,-52.3333,78.8,89,75,10.36,GF,1612075279
kroya,-7.6331,109.2461,86.22,68,73,4.45,ID,1612075279
tamale,9.4008,-0.8393,72.19,21,0,4.25,GH,1612075280
margate,51.3813,1.3862,39.0,63,100,4.0,GB,1612075009
avarua,-21.2078,-159.775,77.0,88,40,2.3,CK,1612075282
atarra,25.2833,80.5667,74.53,19,0,5.93,IN,1612075283
buxton,53.2574,-1.9098,32.0,91,100,13.69,GB,1612075283
mugur-aksy,50.35,90.5,16.11,80,0,4.85,RU,1612075283
abu samrah,35.3029,37.1841,55.54,70,0,27.56,SY,1612075283
saskylakh,71.9167,114.0833,-32.17,83,100,8.7,RU,1612075024
lata,40.1629,-8.3327,57.0,96,100,5.01,PT,1612075284
dongsheng,39.8161,109.9776,30.67,69,0,31.92,CN,1612075284
san patricio,28.017,-97.5169,64.0,100,40,5.75,US,1612075284
busembatia,0.7697,33.6131,81.25,40,96,5.41,UG,1612075284
college,64.8569,-147.8028,-4.0,77,90,1.5,US,1612075238
marienburg,54.0359,19.0266,28.4,86,75,13.8,PL,1612075285
fortuna,40.5982,-124.1573,54.0,62,90,28.77,US,1612075285
sinnamary,5.3833,-52.95,77.38,85,72,14.03,GF,1612075285
plettenberg bay,-34.0527,23.3716,73.92,56,0,4.32,ZA,1612075285
goderich,43.7501,-81.7165,15.8,79,100,8.05,CA,1612075285
pacifica,37.6138,-122.4869,53.6,81,90,3.44,US,1612075285
miraflores,19.2167,-98.8083,60.8,48,1,4.61,MX,1612075286
boyolangu,-8.1181,111.8935,85.06,68,86,4.54,ID,1612075286
faya,18.3851,42.4509,62.6,36,0,4.61,SA,1612075286
olga,43.7444,135.2892,13.46,77,0,2.86,RU,1612075286
lensk,60.7253,114.9278,-25.69,80,100,7.65,RU,1612075287
ordynskoye,54.3656,81.8994,2.93,88,100,6.89,RU,1612075287
ponta do sol,32.6667,-17.1,57.0,81,1,5.01,PT,1612075287
caceres,39.522,-6.3748,51.01,86,100,5.01,ES,1612075287
comodoro rivadavia,-45.8667,-67.5,55.4,62,0,3.44,AR,1612075287
coquimbo,-29.9533,-71.3436,64.4,88,0,4.61,CL,1612075097
ajdabiya,30.7554,20.2263,59.54,43,0,10.87,LY,1612075287
namibe,-15.1961,12.1522,72.9,74,100,3.36,AO,1612075088
carnarvon,-24.8667,113.6333,89.6,58,1,17.27,AU,1612075287
port blair,11.6667,92.75,83.35,65,0,11.79,IN,1612075288
ilulissat,69.2167,-51.1,6.8,66,90,11.5,GL,1612075288
xichang,27.8964,102.2634,58.32,46,15,7.47,CN,1612075149
manggar,-2.8833,108.2667,84.83,69,100,12.24,ID,1612075289
hovd,48.0056,91.6419,19.98,71,0,3.71,MN,1612075289
januaria,-15.4833,-44.3667,72.28,64,65,5.35,BR,1612075289
bar harbor,44.3876,-68.2039,7.0,72,1,4.61,US,1612075022
cartagena,10.3997,-75.5144,75.2,83,0,4.61,CO,1612075041
troitskoye,52.9821,84.6757,10.26,93,85,9.46,RU,1612075291
ryotsu,38.0833,138.4333,39.2,56,75,11.5,JP,1612075291
riverton,40.5219,-111.9391,32.0,86,1,4.61,US,1612075291
leh,34.1667,77.5833,14.88,62,53,1.5,IN,1612075291
severo-kurilsk,50.6789,156.125,24.69,95,100,36.84,RU,1612075052
portmore,17.9702,-76.8672,77.0,73,20,6.91,JM,1612075292
hasaki,35.7333,140.8333,54.0,32,20,13.8,JP,1612075292
neuquen,-38.9516,-68.0591,62.6,72,75,5.75,AR,1612075152
khvoynaya,58.9,34.5333,18.41,97,100,5.7,RU,1612075292
buin,-33.7333,-70.75,64.4,88,90,8.05,CL,1612075292
la ronge,55.1001,-105.2842,12.2,79,3,1.14,CA,1612075292
shahreza,32.0339,51.8794,42.66,51,0,1.63,IR,1612075292
beringovskiy,63.05,179.3167,6.31,94,100,30.11,RU,1612075293
ilo,-17.6394,-71.3375,67.39,79,100,6.49,PE,1612075293
vuktyl,63.8567,57.3094,10.18,94,100,11.3,RU,1612075293
cidreira,-30.1811,-50.2056,73.89,88,100,9.04,BR,1612075293
mekhe,15.1097,-16.6218,66.2,39,100,10.18,SN,1612075293
cedar lake,41.3648,-87.4411,30.2,93,90,17.27,US,1612075294
adzope,6.1069,-3.8619,73.85,98,37,3.24,CI,1612075294
safranbolu,41.2508,32.6942,41.61,83,39,2.19,TR,1612075294
kaeo,-35.1,173.7833,68.0,68,2,5.99,NZ,1612075089
puerto del rosario,28.5004,-13.8627,64.4,77,40,8.05,ES,1612075294
fort nelson,58.8053,-122.7002,-16.6,76,40,2.48,CA,1612075052
washington,47.5001,-120.5015,34.0,94,100,3.38,US,1612075285
sorland,67.667,12.6934,30.29,88,100,6.4,NO,1612075295
ormara,25.2088,64.6357,72.55,52,0,10.94,PK,1612075295
sheksna,59.21,38.5107,24.8,86,90,8.95,RU,1612075295
mount isa,-20.7333,139.5,100.4,23,75,5.75,AU,1612075296
mar del plata,-38.0023,-57.5575,60.01,58,75,13.8,AR,1612075151
kaspiysk,42.8816,47.6392,42.8,87,90,8.95,RU,1612075296
thompson,55.7435,-97.8558,14.0,85,90,2.64,CA,1612075031
san miguel,13.4833,-88.1833,71.69,62,99,2.89,SV,1612075296
esperance,-33.8667,121.9,86.0,26,0,16.11,AU,1612075296
pisco,-13.7,-76.2167,69.8,73,0,6.91,PE,1612075297
montefiascone,42.5393,12.0362,50.0,93,75,8.05,IT,1612075297
bom jesus da lapa,-13.255,-43.4181,72.61,62,65,1.59,BR,1612075242
salalah,17.0151,54.0924,75.2,53,20,2.3,OM,1612075297
kita,13.0349,-9.4895,64.38,25,0,5.64,ML,1612075297
marrakesh,31.6315,-8.0083,48.2,93,45,8.05,MA,1612075016
payo,-3.7508,103.6372,85.86,60,100,6.02,ID,1612075298
manta,-0.95,-80.7333,77.0,88,90,4.61,EC,1612075299
hammerfest,70.6634,23.6821,24.8,93,75,10.36,NO,1612075299
avera,33.194,-82.5271,44.6,87,90,6.91,US,1612075299
cesvaine,56.9667,26.3167,23.59,97,100,12.28,LV,1612075300
verkhnyaya inta,65.9811,60.3094,6.62,91,100,7.38,RU,1612075300
faanui,-16.4833,-151.75,82.36,71,100,10.42,PF,1612075300
port hardy,50.6996,-127.4199,44.6,87,90,19.57,CA,1612075300
bengkulu,-3.8004,102.2655,81.01,75,100,9.95,ID,1612075300
oranjemund,-28.55,16.4333,64.98,72,0,10.18,NA,1612075065
knysna,-34.0363,23.0471,69.8,73,0,4.61,ZA,1612075301
luganville,-15.5333,167.1667,81.1,73,16,7.9,VU,1612075301
chapais,49.7834,-74.8492,-5.8,84,90,5.75,CA,1612075301
fairbanks,64.8378,-147.7164,-4.0,77,90,1.54,US,1612075067
klaksvik,62.2266,-6.589,30.2,69,20,11.5,FO,1612075301
ballina,-28.8667,153.5667,82.4,69,40,13.8,AU,1612075301
geraldton,-28.7667,114.6,96.8,30,0,21.85,AU,1612075301
byron bay,-28.65,153.6167,82.4,69,40,13.8,AU,1612075149
biak,-0.9131,122.8766,83.88,65,100,6.42,ID,1612075302
matamoros,25.5333,-103.25,66.0,30,0,2.13,MX,1612075302
hamilton,39.1834,-84.5333,34.0,86,90,4.61,US,1612075032
diffa,13.3154,12.6113,67.53,26,58,12.55,NE,1612075303
saint-pierre,-21.3393,55.4781,88.0,62,0,24.16,RE,1612075303
gat,31.61,34.7642,60.01,54,0,5.01,IL,1612075303
mocuba,-16.8392,36.9856,83.88,77,88,2.57,MZ,1612075303
valu lui traian,44.1667,28.4667,37.4,93,0,3.44,RO,1612075303
kavieng,-2.5744,150.7967,83.39,72,100,10.83,PG,1612075303
clyde river,70.4692,-68.5914,-0.4,78,90,3.44,CA,1612075303
tuatapere,-46.1333,167.6833,59.58,70,100,0.65,NZ,1612075304
luis correia,-2.8792,-41.6669,75.99,89,92,8.55,BR,1612075304
jawhar,2.7809,45.5005,85.91,39,0,14.09,SO,1612075304
bontang,0.1333,117.5,84.27,66,100,8.48,ID,1612075304
havelock,34.8791,-76.9013,39.0,60,90,6.91,US,1612075305
ban nahin,18.2418,104.2122,89.01,37,92,3.8,LA,1612075305
provideniya,64.3833,-173.3,-9.51,87,100,20.0,RU,1612075305
ribeira grande,38.5167,-28.7,63.05,94,86,16.55,PT,1612075305
port lincoln,-34.7333,135.8667,69.55,54,5,8.61,AU,1612075306
mugumu,-1.85,34.7,72.86,57,5,6.42,TZ,1612075306
constitucion,-35.3333,-72.4167,57.88,90,24,6.13,CL,1612075007
cooma,-36.2333,149.1333,73.4,56,26,19.57,AU,1612075306
naze,28.3667,129.4833,62.6,55,20,9.22,JP,1612075306
bristol,41.8334,-71.1662,14.0,66,1,3.44,US,1612075306
hualmay,-11.0964,-77.6139,70.14,78,72,8.93,PE,1612075308
alice springs,-23.7,133.8833,98.6,18,40,9.22,AU,1612075308
pacific grove,36.6177,-121.9166,51.01,87,90,4.61,US,1612075159
izumo,35.3667,132.7667,50.0,43,20,6.91,JP,1612075073
gusau,12.1628,6.6614,64.4,26,7,10.29,NG,1612075308
nuevo laredo,27.4763,-99.5164,64.4,72,1,6.91,MX,1612075309
wuning,29.2589,120.2311,68.22,50,45,5.01,CN,1612075309
shelburne,44.0787,-80.2041,8.01,100,75,2.3,CA,1612075309
noumea,-22.2763,166.4572,81.0,69,75,9.22,NC,1612075309
vostok,46.4856,135.8833,-7.65,86,5,3.67,RU,1612075309
longyearbyen,78.2186,15.6401,-5.8,49,20,20.71,SJ,1612075022
parrita,9.5201,-84.3225,68.0,68,0,16.11,CR,1612075310
biharamulo,-2.6319,31.3089,72.03,76,27,1.34,TZ,1612075310
belaya gora,68.5333,146.4167,-34.29,84,98,4.7,RU,1612075310
airai,-8.9266,125.4092,66.51,97,100,6.93,TL,1612075310
seminole,28.7086,-81.2081,60.8,72,1,3.44,US,1612075310
bantry,51.6833,-9.45,41.0,100,75,14.97,IE,1612075311
steamboat springs,40.485,-106.8317,23.0,100,90,2.46,US,1612075311
decin,50.7822,14.2148,16.0,92,83,2.73,CZ,1612075311
berlevag,70.8578,29.0864,25.66,95,100,19.08,NO,1612075311
kandrian,-6.2167,149.55,84.54,72,67,17.81,PG,1612075311
souillac,-20.5167,57.5167,86.0,66,40,10.36,MU,1612075311
castlemaine,-37.0667,144.2167,84.99,27,0,3.0,AU,1612075312
kirakira,-10.4544,161.9205,78.28,89,100,17.27,SB,1612075312
kaitangata,-46.2817,169.8464,62.01,85,100,4.0,NZ,1612075020
katangli,51.7102,143.2326,0.12,90,100,11.01,RU,1612075312
mnogovershinnyy,53.9353,139.9242,-6.72,89,100,4.81,RU,1612075312
biltine,14.5333,20.9167,74.52,18,0,11.27,TD,1612075312
batagay-alyta,67.8006,130.4114,-33.11,81,89,2.3,RU,1612075313
pevek,69.7008,170.3133,-33.81,84,1,2.15,RU,1612075313
talnakh,69.4865,88.3972,-30.24,71,0,7.52,RU,1612075049
huarmey,-10.0681,-78.1522,70.84,74,99,8.7,PE,1612075313
port elizabeth,-33.918,25.5701,71.6,64,0,8.05,ZA,1612075313
la rioja,42.25,-2.5,32.0,100,100,10.65,ES,1612075313
teya,60.3778,92.6267,-17.7,81,46,0.98,RU,1612075314
kudahuvadhoo,2.6708,72.8944,81.88,77,0,13.13,MV,1612075314
odweyne,9.4092,45.064,75.7,19,0,2.8,SO,1612075314
hithadhoo,-0.6,73.0833,82.29,77,75,15.95,MV,1612075314
atar,20.5169,-13.0499,62.96,28,9,8.68,MR,1612075314
komsomolskiy,40.4272,71.7189,48.2,25,88,2.3,UZ,1612075314
pasighat,28.0667,95.3333,74.64,28,0,4.09,IN,1612075049
tiruchchendur,8.4833,78.1167,84.2,65,40,6.91,IN,1612075316
champerico,14.3,-91.9167,63.0,87,19,3.74,GT,1612075316
qingdao,36.0986,120.3719,53.6,47,100,11.18,CN,1612075316
madimba,-10.4,40.3333,80.49,84,92,11.05,TZ,1612075316
vestmanna,62.1564,-7.1664,30.2,69,20,11.5,FO,1612075316
barabinsk,55.3571,78.357,-0.02,91,95,10.54,RU,1612075317
bilma,18.6853,12.9164,62.1,27,1,4.99,NE,1612075317
nishihara,26.1842,127.7558,68.0,39,40,14.97,JP,1612075317
kaberamaido,1.7389,33.1594,82.06,44,99,5.37,UG,1612075317
idil,37.3411,41.8895,41.0,87,75,20.71,TR,1612075317
nelson bay,-32.7167,152.15,78.01,83,75,19.57,AU,1612075317
mamurras,41.5775,19.6922,44.6,76,75,4.61,AL,1612075318
del rio,29.3627,-100.8968,53.6,58,1,4.61,US,1612075318
